Wed Jan 15 14:31:50 2025    profiling-output

         709733 function calls (690256 primitive calls) in 6.802 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      513    0.000    0.000    0.000    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:1543(get)
      757    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:83(groups)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      437    0.000    0.000    0.000    0.000 /usr/lib/python3.12/socket.py:79(<lambda>)
       43    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:390(__setitem__)
      347    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:48(_is_dunder)
      414    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      189    0.000    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_types.py:360(__init__)
      318    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:79(_is_private)
      375    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1134(_is_dunder)
      484    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       22    0.000    0.000    0.002    0.000 /usr/lib/python3.12/enum.py:528(__new__)
      273    0.000    0.000    0.000    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_parser.py:334(match)
        1    0.000    0.000    0.001    0.001 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/charset_normalizer/constant.py:1(<module>)
      120    0.000    0.000    0.002    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:241(handle_comment)
      438    0.000    0.000    0.000    0.000 /usr/lib/python3.12/socket.py:84(<lambda>)
      194    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:231(__init__)
    70/39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      308    0.000    0.000    0.000    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_parser.py:238(css_unescape)
        1    0.000    0.000    6.802    6.802 <string>:1(<module>)
      195    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      524    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      606    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      440    0.000    0.000    0.000    0.000 /usr/lib/python3.12/socket.py:94(<lambda>)
      163    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       69    0.000    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_parser.py:532(parse_tag_pattern)
      439    0.000    0.000    0.000    0.000 /usr/lib/python3.12/socket.py:89(<lambda>)
       26    0.000    0.000    0.002    0.000 /usr/lib/python3.12/typing.py:687(Union)
      235    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      952    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      508    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.033    0.033 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/dammit.py:67(EntitySubstitution)
        5    0.000    0.000    0.001    0.000 /usr/lib/python3.12/urllib/request.py:2505(getproxies_environment)
    85/79    0.000    0.000    0.003    0.000 /usr/lib/python3.12/typing.py:392(inner)
       75    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:274(getuntil)
      270    0.000    0.000    0.000    0.000 /usr/lib/python3.12/types.py:192(__init__)
      160    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:166(_type_convert)
      299    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:38(_is_descriptor)
      222    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      388    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:570(isstring)
      342    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.12/pathlib.py:1(<module>)
      335    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      325    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
