Wed Jan 15 14:32:11 2025    profiling-output

         709732 function calls (690255 primitive calls) in 2.061 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      194    0.000    0.000    0.047    0.000 /usr/lib/python3.12/re/_compiler.py:573(_code)
      500    0.000    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:726(__call__)
      412    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:265(getwhile)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     2521    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
  192/188    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       67    0.000    0.000    0.001    0.000 /usr/lib/python3.12/functools.py:35(update_wrapper)
      194    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       24    0.000    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:254(__set_name__)
        1    0.000    0.000    0.004    0.004 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/requests/packages.py:1(<module>)
      488    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      163    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      328    0.000    0.000    1.266    0.004 /usr/lib/python3.12/ssl.py:1095(read)
  217/180    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:436(_get_literal_prefix)
      229    0.000    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:273(get_text)
      730    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       49    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      172    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       54    0.000    0.000    0.002    0.000 /usr/lib/python3.12/typing.py:1242(__init__)
     1204    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      778    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       19    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      500    0.000    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:1129(__new__)
      120    0.000    0.000    0.002    0.000 /usr/lib/python3.12/_markupbase.py:165(parse_comment)
     1670    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
  557/539    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       49    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        6    0.000    0.000    0.003    0.000 /usr/lib/python3.12/typing.py:2780(__new__)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      163    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      484    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       84    0.000    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_parser.py:798(parse_combinator)
      375    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1134(_is_dunder)
     1080    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      318    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:79(_is_private)
       22    0.000    0.000    0.002    0.000 /usr/lib/python3.12/enum.py:528(__new__)
       99    0.000    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:1551(__or__)
        1    0.000    0.000    2.061    2.061 <string>:1(<module>)
      136    0.000    0.000    0.002    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_types.py:203(__init__)
  164/161    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      654    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      757    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:83(groups)
      414    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      273    0.000    0.000    0.000    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_parser.py:334(match)
      179    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:86(opengroup)
      419    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      215    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      120    0.000    0.000    0.002    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:241(handle_comment)
      195    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
     1080    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      189    0.000    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_types.py:360(__init__)
      256    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
    85/79    0.000    0.000    0.003    0.000 /usr/lib/python3.12/typing.py:392(inner)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
    70/39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      307    0.000    0.000    0.130    0.000 /usr/lib/python3.12/re/__init__.py:226(compile)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.12/locale.py:1(<module>)
       43    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:390(__setitem__)
        1    0.000    0.000    0.001    0.001 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/charset_normalizer/constant.py:1(<module>)
      308    0.000    0.000    0.000    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_parser.py:238(css_unescape)
      606    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       26    0.000    0.000    0.002    0.000 /usr/lib/python3.12/typing.py:687(Union)
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.12/socket.py:1(<module>)
      388    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:570(isstring)
      194    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:231(__init__)
      328    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      513    0.000    0.000    0.000    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:1543(get)
      606    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       69    0.000    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_parser.py:532(parse_tag_pattern)
      524    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      222    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      439    0.000    0.000    0.000    0.000 /usr/lib/python3.12/socket.py:89(<lambda>)
      347    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:48(_is_dunder)
      235    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      437    0.000    0.000    0.000    0.000 /usr/lib/python3.12/socket.py:79(<lambda>)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      299    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:38(_is_descriptor)
      440    0.000    0.000    0.000    0.000 /usr/lib/python3.12/socket.py:94(<lambda>)
      438    0.000    0.000    0.000    0.000 /usr/lib/python3.12/socket.py:84(<lambda>)
       77    0.000    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_types.py:267(__init__)
       43    0.000    0.000    0.178    0.004 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/urllib3/response.py:1173(read_chunked)
